name,ra,dec,plate,mjd,fiberID,subclass,u_mag,g_mag,r_mag,i_mag,z_mag
825450694998779904,328.67664,13.094619,733,52207,604,M3,22.76605,21.54508,20.04831,18.82605,18.16512
826468568173406208,329.61162,11.496742,734,52224,211,M4,25.35307,22.87765,21.06191,19.74818,19.12168
764513011305048064,349.20654,-0.99687227,679,52177,98,M1,23.95964,22.25624,20.85521,20.06344,19.60785
796186367888484352,42.949375,-0.00089526429,707,52177,637,M4,21.58871,20.83318,20.32354,19.20905,18.41958
764495419119003648,349.83451,-0.040077544,679,52177,34,M3,23.90528,22.27337,20.80075,19.62276,18.96346
796174548138485760,42.410423,0.25716677,707,52177,594,M2,24.44231,22.58292,21.24876,20.41361,20.0225
796185543254763520,43.002915,0.30117577,707,52177,634,M2,24.1988,22.51628,21.11396,20.10119,19.64819
797148440529233920,43.943397,-1.2345209,708,52175,41,M4,24.31878,21.69298,20.22652,18.74251,17.88275
796116823778027520,40.698386,0.46977248,707,52177,384,M2,23.95369,21.38664,20.08401,19.025,18.46628
796131942062909440,41.150863,0.57819812,707,52177,439,M3,23.45171,21.43595,20.06918,18.94053,18.33987
796126994260584448,41.17588,0.54085678,707,52177,421,M3,25.41629,22.8101,21.60627,20.55905,19.94129
796142662301280256,41.479729,0.4779728,707,52177,478,M2,23.59107,21.72571,20.45477,19.43098,18.92521
796148984493139968,41.820792,0.45985433,707,52177,501,M4,23.94351,23.43442,21.81796,20.53149,19.77046
764528679345743872,348.96702,-0.25956884,679,52177,155,M3,23.38273,21.96771,20.78871,19.59928,18.88443
764514935450396672,349.13273,-0.41439227,679,52177,105,M4,24.09897,23.19491,21.73208,20.49003,19.82197
796146785469884416,41.715908,0.032983436,707,52177,493,M4,23.84337,23.29646,22.08404,20.50515,19.68135
797154762721093632,44.391669,-0.5702412,708,52175,64,M3,25.2979,23.27934,22.05756,20.56353,19.85395
764570735665506304,347.42541,-0.46916695,679,52177,308,M4,23.08772,23.16726,21.78904,20.36193,19.58628
764492670339934208,350.09791,-0.49871141,679,52177,24,M4,25.28216,22.97949,21.42784,20.11357,19.3387
764492395462027264,350.2655,-0.4356456,679,52177,23,M4,21.80288,21.03057,20.21684,19.09329,18.36167
763510268562008064,347.40071,-0.054967792,678,52884,546,M4,21.55024,21.07419,20.70677,19.64176,18.97044
302960290595629056,149.75677,0.79320029,269,51910,339,M3,23.59209,22.394,20.87646,19.59324,18.87111
302974584246790144,150.94769,0.3143437,269,51910,391,M4,23.76084,22.23676,20.88281,19.55957,18.87375
351310760963500032,229.65564,-0.58441521,312,51689,109,M3,24.05712,22.4031,21.06977,19.67609,18.9646
351340447777449984,229.13802,-0.95054263,312,51689,217,M4,25.31789,22.37958,20.9095,19.45783,18.69005
393058393004206080,252.33344,64.040911,349,51699,434,M4,25.06283,22.90921,22.01238,20.91335,20.10911
393093027620481024,255.74282,63.602162,349,51699,560,M4,25.63544,21.91601,20.44998,19.12354,18.3428
431260376751958016,351.33265,-0.617242,383,51818,148,M3,23.74872,21.62648,20.12214,18.88581,18.23771
505556852717676544,135.35574,53.419558,449,51900,101,M4,23.27313,22.39051,20.48937,19.34453,18.51256
575440999493429248,169.54187,2.8181387,511,52636,386,M2,24.32608,21.98009,20.4843,19.88643,18.70687
